,OMA Sum rate,Architecture Sum rate,Fixed NOMA Sum rate,Fixed NOMA Pairs,NOMA Pairs,Fixed NOMA Outage
305,42.026850375669724,78.47164236374373,42.026850375669724,0,4,4
306,38.97496124358605,75.33146636399083,57.11453756499229,1,4,3
307,23.551668488206737,48.53607291465451,23.551668488206737,0,1,1
308,23.551668488206737,48.53607291465451,23.551668488206737,0,1,1
309,45.05144266153636,72.17037227481833,71.99566346727055,1,1,0
310,63.22622342460869,83.29281307004617,83.48116580827119,1,2,1
311,56.08035314263991,79.44993176346651,72.36738947359034,1,3,2
312,57.20458973195467,77.20015396234892,57.20458973195467,0,1,1
313,33.81055924783584,71.26820192457504,33.81055924783584,0,4,4
314,56.22845939255023,85.7852552293619,69.67213419492012,1,3,2
315,56.22845939255023,85.58619390046695,69.67213419492012,1,3,2
316,56.39965511729535,73.78155227145888,62.904840122525265,1,2,1
317,51.554209189718215,78.89265793456809,51.37339226043363,1,1,0
318,45.133153122173375,78.35277769762557,44.95233619288879,1,4,3
319,63.635046676783645,77.332578133884,90.8314204169348,1,2,1
320,63.635046676783645,77.332578133884,90.8314204169348,1,2,1
321,82.75901121707224,98.41245216451077,82.75901121707224,0,1,1
322,55.70114281780372,70.63365526609098,57.20129378909786,1,2,1
323,55.70114281780372,70.70690858442978,62.078956774838936,1,2,1
324,75.57669909611077,80.63133616985643,75.57669909611077,0,1,1
325,62.01478169922294,62.01478169922294,62.01478169922295,0,0,0
326,62.01478169922294,62.01478169922294,62.01478169922295,0,0,0
327,73.30952378248016,90.30401756434766,73.30952378248017,0,1,1
328,35.067860830129476,58.66333097915792,48.62230600484231,1,2,1
329,35.067860830129476,58.66333097915792,48.62230600484231,1,2,1
330,59.68224814173408,101.83157924948092,59.68224814173407,0,3,3
331,31.070118190265205,45.27812457898057,31.0701181902652,0,1,1
332,29.019852583769655,58.89129685849451,32.817099260126945,1,3,2
333,29.019852583769655,58.895899770585366,33.408915141012926,1,3,2
334,68.36599812290333,68.36599812290333,68.36599812290333,0,0,0
335,29.875482831607084,55.43272516469554,29.875482831607084,0,1,1
336,29.875482831607084,55.77126733763757,29.875482831607084,0,1,1
